name,city,country,latitude,longitude,email,phone,website,images,facilities
NomadGao Assagao,Assagao,India,15.593,73.757,contact@balivilla.com,+62 812 3456 7890,https://balivilla.com,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"High-speed WiFi, Pool, Co-working Space, Kitchen"
NomadGao Dharamkot,Dharamkot,India,32.245,76.329,hello@lisbonstay.pt,+351 912 345 678,https://lisbonstay.pt,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"Coworking Lounge, Free Coffee, Fast WiFi, Near Metro"
Draper Startup House Bengaluru,Indiranagar,India,12.978,77.64,stay@medellinnovad.com,+57 321 654 9870,https://medellinnovad.com,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"Terrace, Networking Events, Ultra-fast WiFi, Kitchen"
The Hosteller Bir,Bir,India,32.042,76.709,book@zenhomestay.co.th,+66 85 123 4567,https://zenhomestay.co.th,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"Yoga Deck, Shared Workspace, Free Breakfast, High-speed WiFi"
Zostel Rishikesh,Rishikesh,India,30.086,78.267,info@urbanloft.es,+34 612 345 678,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Indian Summer House Varkala,Varkala,India,8.735,76.706,info@urbanloft.es,+34 612 345 679,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Outpost Goa (assorted),Anjuna,India,15.586,73.744,info@urbanloft.es,+34 612 345 680,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Hacker House Goa,Arpora,India,15.577,73.766,info@urbanloft.es,+34 612 345 681,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Blue Tokai Stay Bengaluru (example),Koramangala,India,12.935,77.622,info@urbanloft.es,+34 612 345 682,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Backpacker Panda Auroville,Auroville,India,12.005,79.81,info@urbanloft.es,+34 612 345 683,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
