id,name,type,address,city,state_region,country,latitude,longitude,timezone,contact_email,contact_phone,website,booking_link,images,amenities,work_friendly_features,notes,source
101,NomadGao Assagao,coliving,,Assagao,Goa,India,15.593,73.757,Asia/Kolkata,,,,,,"wifi,cowork,kitchen,events",Fast wifi; common work areas,Known nomad coliving in Goa,starter list
102,NomadGao Dharamkot,coliving,,Dharamkot,Himachal Pradesh,India,32.245,76.329,Asia/Kolkata,,,,,,"wifi,cowork,kitchen,events",Fast wifi; common work areas,Himalayan retreat style coliving,starter list
103,Draper Startup House Bengaluru,hostel,,Indiranagar,Karnataka,India,12.978,77.64,Asia/Kolkata,,,,,,"wifi,cowork,kitchen,events",Fast wifi; common work areas,Entrepreneur-focused stay,starter list
104,The Hosteller Bir,hostel,,Bir,Himachal Pradesh,India,32.042,76.709,Asia/Kolkata,,,,,,"wifi,cowork,kitchen,events",Fast wifi; common work areas,Work-friendly common areas,starter list
105,Zostel Rishikesh,hostel,,Rishikesh,Uttarakhand,India,30.086,78.267,Asia/Kolkata,,,,,,"wifi,cowork,kitchen,events",Fast wifi; common work areas,"Popular with nomads, cafes nearby",starter list
106,Indian Summer House Varkala,guesthouse,,Varkala,Kerala,India,8.735,76.706,Asia/Kolkata,,,,,,"wifi,cowork,kitchen,events",Fast wifi; common work areas,Beach + work balance,starter list
107,Outpost Goa (assorted),coliving,,Anjuna,Goa,India,15.586,73.744,Asia/Kolkata,,,,,,"wifi,cowork,kitchen,events",Fast wifi; common work areas,Nomad-friendly area,starter list
108,Hacker House Goa,coliving,,Arpora,Goa,India,15.577,73.766,Asia/Kolkata,,,,,,"wifi,cowork,kitchen,events",Fast wifi; common work areas,Community/tech-focused,starter list
109,Blue Tokai Stay Bengaluru (example),guesthouse,,Koramangala,Karnataka,India,12.935,77.622,Asia/Kolkata,,,,,,"wifi,cowork,kitchen,events",Fast wifi; common work areas,Near cowork cafes,starter list
110,Backpacker Panda Auroville,hostel,,Auroville,Tamil Nadu,India,12.005,79.81,Asia/Kolkata,,,,,,"wifi,cowork,kitchen,events",Fast wifi; common work areas,"Quiet, green setting",starter list
111,Outsite Lisbon - Cais do Sodré,coliving,,Cais do Sodré,Lisboa,Portugal,38.708,-9.143,Europe/Lisbon,,,,,,"wifi,cowork,kitchen,events",Dedicated workspace or nearby cowork,Brand coliving,starter list
112,Outsite Ericeira,coliving,,Ericeira,Lisboa,Portugal,38.964,-9.416,Europe/Lisbon,,,,,,"wifi,cowork,kitchen,events",Dedicated workspace or nearby cowork,Surf + work,starter list
113,Selina Porto,hostel,,Porto,Porto,Portugal,41.149,-8.61,Europe/Lisbon,,,,,,"wifi,cowork,kitchen,events",Dedicated workspace or nearby cowork,Cowork + social,starter list
114,Hub Hub Madeira (example),coliving,,Funchal,Madeira,Portugal,32.666,-16.925,Atlantic/Madeira,,,,,,"wifi,cowork,kitchen,events",Dedicated workspace or nearby cowork,Island nomad hub,starter list
115,Selina Lisbon,hostel,,Lisbon,Lisboa,Portugal,38.722,-9.139,Europe/Lisbon,,,,,,"wifi,cowork,kitchen,events",Dedicated workspace or nearby cowork,Central location,starter list
116,Village Underground Lisboa (lodging),guesthouse,,Lisbon,Lisboa,Portugal,38.702,-9.178,Europe/Lisbon,,,,,,"wifi,cowork,kitchen,events",Dedicated workspace or nearby cowork,Creative space,starter list
117,Selina Mexico City Downtown,hostel,,Ciudad de México,CDMX,Mexico,19.432,-99.133,America/Mexico_City,,,,,,"wifi,cowork,kitchen,events",Cowork on-site/nearby,Cowork + events,starter list
118,Selina Oaxaca,hostel,,Oaxaca,Oaxaca,Mexico,17.059,-96.725,America/Mexico_City,,,,,,"wifi,cowork,kitchen,events",Cowork on-site/nearby,Creative city,starter list
